fn_8010C110	8010C9BC	r4	init:li r4, 0x0	auto_fn_8010C110_text.s
CGameCoin_Init	80130260	r4	init:li r4, 0x0	auto_fn_8012BF5C_text.s
fn_80138DB8	80139010	r4	init:mr r4, r5	auto_fn_80138DB8_text.s
fn_80138DB8	8013963C	r4	init:mr r4, r5	auto_fn_80138DB8_text.s
fn_80182ED0	80182F90	r3	init:li r3, 0x0	auto_fn_80182ED0_text.s
fn_801831F8	801832C4	r3	init:li r3, 0x0	auto_fn_801831F8_text.s
fn_80183538	80183604	r3	init:li r3, 0x0	auto_fn_80183538_text.s
fn_8019A9BC	8019AC64	r4	init:mr r4, r5	auto_fn_8019A9BC_text.s
fn_8019C6B4	8019CA84	r4	init:mr r4, r5	auto_fn_8019C6B4_text.s
fn_801BF644	801BF8CC	r9	init:li r9, 0x0	auto_fn_801BAA88_text.s
fn_801DCCE4	801DCDB8	r3	init:li r3, 0x0	auto_fn_801DCCE4_text.s
fn_801E0C10	801E0DDC	r4	init:mr r4, r5	auto_fn_801DEF94_text.s
fn_801E12B8	801E154C	r4	init:mr r4, r5	auto_fn_801DEF94_text.s
fn_801E1870	801E1A44	r4	init:mr r4, r5	auto_fn_801DEF94_text.s
fn_801E1CD0	801E1E9C	r4	init:mr r4, r5	auto_fn_801DEF94_text.s
fn_801E2188	801E2354	r4	init:mr r4, r5	auto_fn_801DEF94_text.s
fn_801E2640	801E2824	r4	init:mr r4, r5	auto_fn_801DEF94_text.s
fn_801E9E74	801EA198	r6	init:li r6, 0x0	auto_fn_801E9E74_text.s
fn_801ED798	801EDA80	r4	init:mr r4, r5	auto_fn_801ED798_text.s
fn_8021FC4C	8022063C	r7	init:li r7, 0x0	auto_fn_8021FC4C_text.s
fn_80243464	80243764	r11	init:mr r11, r10	auto_fn_80243464_text.s
